Date,Policy,Category,Description,Source,Updated
2010-02-20,Seller's Stamp Duty introduced,Cooling Measure,SSD introduced for residential properties sold within one year of purchase.,https://www.iras.gov.sg/taxes/stamp-duty/for-property/selling-or-disposing-property/seller%27s-stamp-duty-%28ssd%29-for-residential-property,2026-08-04
2010-08-30,Seller's Stamp Duty extended,Cooling Measure,SSD holding period extended to three years for newly acquired residential properties.,https://www.iras.gov.sg/taxes/stamp-duty/for-property/selling-or-disposing-property/seller%27s-stamp-duty-%28ssd%29-for-residential-property,2026-08-04
2011-01-14,Seller's Stamp Duty strengthened,Cooling Measure,"SSD holding period extended to four years, with rates of 16%, 12%, 8% and 4%.",https://www.iras.gov.sg/taxes/stamp-duty/for-property/selling-or-disposing-property/seller%27s-stamp-duty-%28ssd%29-for-residential-property,2026-08-04
2013-01-12,ABSD rates increased,Tax,"Additional Buyer's Stamp Duty rates were raised for multiple-property buyers, permanent residents, foreigners and entities.",https://www.iras.gov.sg/quick-links/tax-rates/stamp-duty,2026-08-04
2013-06-29,TDSR framework introduced,Financing,MAS introduced the Total Debt Servicing Ratio framework for property loans.,https://www.mas.gov.sg/news/media-releases/2013/mas-introduces-debt-servicing-framework-for-property-loans,2026-08-04
2017-03-11,Seller's Stamp Duty eased,Policy Normalisation,"SSD holding period shortened from four years to three years and rates reduced to 12%, 8% and 4%.",https://www.iras.gov.sg/taxes/stamp-duty/for-property/selling-or-disposing-property/seller%27s-stamp-duty-%28ssd%29-for-residential-property,2026-08-04
2018-02-20,Residential BSD increased,Tax,Top marginal Buyer's Stamp Duty rate for residential property increased from 3% to 4%.,https://www.iras.gov.sg/quick-links/tax-rates/stamp-duty,2026-08-04
2018-07-06,ABSD rates increased,Tax,"ABSD rates were raised for Singapore citizens buying additional homes, permanent residents, foreigners and entities.",https://www.iras.gov.sg/quick-links/tax-rates/stamp-duty,2026-08-04
2021-12-16,Property cooling measures tightened,Cooling Measure,"ABSD rates were raised, the TDSR threshold was tightened and housing loan limits were reduced.",https://www.mnd.gov.sg/newsroom/press-releases/view/measures-to-cool-the-property-market,2026-08-04
2022-09-30,HDB financing tightened and 15-month wait-out introduced,HDB Policy,HDB loan LTV was lowered and a 15-month wait-out period was imposed on private-property owners buying non-subsidised HDB resale flats.,https://www.hdb.gov.sg/hdb-pulse/news/2022/property-measures2022,2026-08-04
2023-02-15,Residential BSD increased,Tax,Top marginal Buyer's Stamp Duty rate for residential property increased to 6%.,https://www.iras.gov.sg/quick-links/tax-rates/stamp-duty,2026-08-04
2023-04-27,ABSD rates increased,Tax,"ABSD rates were raised, including the rate for foreigners buying residential property from 30% to 60%.",https://www.iras.gov.sg/quick-links/tax-rates/stamp-duty,2026-08-04
2024-08-20,HDB loan LTV lowered,HDB Financing,The LTV limit for HDB housing loans was lowered from 80% to 75%.,https://www.mnd.gov.sg/newsroom/press-releases//view/measures-to-cool-the-hdb-resale-market-and-provide-more-support-for-first-time-home-buyers,2026-08-04
2025-07-04,Seller's Stamp Duty strengthened,Cooling Measure,"SSD holding period was restored to four years, with rates of 16%, 12%, 8% and 4%.",https://www.iras.gov.sg/taxes/stamp-duty/for-property/selling-or-disposing-property/seller%27s-stamp-duty-%28ssd%29-for-residential-property,2026-08-04
2026-07-27,15-month wait-out period removed,Policy Normalisation,The wait-out period for private-property owners purchasing non-subsidised HDB resale flats was removed.,https://www.hdb.gov.sg/hdb-pulse/news/2026/removal-of-the-15-month-wait-out-period-for-private-residential-property-owners,2026-08-04
